Sentence,Type
মাদারচুদ তরে দেখলেই মেজাজ খারাপ হয়ে যায়,Yes
দেশে তোলাবাজী অবৈধ জায়গা দখল যারা করে হাজার হাজার কোটি টাকা বানিয়েছে তাদের মাথা খারাপ হচ্ছে,Yes
শুধু রাজনীতি নয় সব কিছু এখন মিডিয়ার মাধম্যে চলছে এই যে কিছুক্ষন আগে মালাউনদের লাত্তি খাইলেন সে খবর আছে  ক্ষমতা যাক দেখবেন এদেশ থাকতেও হয়ত পারবেন না,Yes
ভারতের প্রধান মন্ত্রিনি মোদি অনেক শক্তিমান  কিন্তু সেই ভারতেই একটা বেয়াদব মূখমন্ত্রিনি আছে  যা ভারতকে ধ্বংস করে দিতে চায়  তার নাম মমতা ব্যানাজি,Yes
দেশের সৈনিক যুদ্ধে মরে তখন হাসে  আর নিজের দেশের বিরোধীতা করে  সেই জন্যই ভারতের আজ এই অবস্থা  যা পাকিস্থা সুযোগ নিচ্ছে ,Yes
 আল জাজিরা  যারা ই মে গনহত্যা বলে খবর করেছিলো  ভুয়া ভিডিও বানাইছিলো  যারা রাজাকারদের ফাসির খবরে সব সময় লিখেছে ইসলামিক লিডার  ,Yes
ভারতে ট্রেন দূর্ঘটনায় সবাই শোক প্রকাশ করতে পারেন  কিন্তুু বার্মায় যে নির্মমভাবে কুত্তার বাচ্ছারা মুসলিম হত্যা করছে তখন তো কেউ নিন্দা ও প্রতিবাদ জানাননি  তাই বলছি,Yes
ইংল্যানড ভারতকে তুলোধুনো করছে  শুনতে ভালোই লাগল ,Yes
মুতখোর দেখ এগুলো অবশ্যই আমি চুপ থাকতে চাই কেউকি আমাকে ভারতের একটি বন্ধুত্বসূলভ আচরণ দেখাতে পারবেন  আমি তো দেখি এ ওরা বংঙ্গভঙ্গ মেনে নেয়নি ওদের সেবাদাস বানিয়ে রাখাই ছিলো,Yes
বড় বেয়াদব বেহায়া নিলজ্জ নিমকহারাম ভারতীয়রা এদের কারণে বিশ্বে এতো হানাহানি মারামারি সালে যুদ্ধের সময় পাকিস্তানী বাহিনীর একটাই উদ্দেশ্য ছিল হিন্দু ধরে ধরে হত্যা ও ধর্ষণ করার এজন্য তো অনেক হিন্দু ভারতে পালিয়ে গিয়েছিল পাকিস্তানী বাহিনী হিন্দু মুসলিম সনাক্ত করার জন্য প্রথমেই বলত কালিমা বলার জন্য,Yes
শালা বাসটারড হাসিনার পাও চাটা কুত্তা ,Yes
সব জাইগা রেন্ডিয়া যারজ দের উতপাত  লাথথি মার সবাই  বের করে দে ফেসবুক থেকে  ,Yes
জাতীয় সংগীতটাও একজন মালাউনের দান ,Yes
নতুন করে বাল জন্মাতে হবে ভারতের,Yes
ভারতের একবার শিক্ষা দেওয়ার দরকার শালারা সব দেশের সিমান্তে গুলি করে মানুষ মারে ,Yes
ভন্ড কাদিয়ানী থেকে সাবধান,Yes
আকাশে ঘুরে বেড়াচ্ছে রাজাকার নাম দিয়ে যাদের কে হত্যা বা ফাসিঁ দেওয়া হয়েছে তাদের আত্যা  সুতারং উপরেও জটিলতা বাড়ছে ,Yes
যে দোষ করেছে তার বিচার হওয়া উচিত  এরজন্য যেন সম্প্রদায় উপর দোষ দিয়া উচিত না তাহলে ভারত আর আমার মধ্যে পার্থক্য থাকবে না ,Yes
তারেক জিয়ার জন্মদিন উপলক্ষে পোষ্টে কিছু লোক যারা আসলে দলকানা তারা যেভাষায় মন্তব্য দিচ্ছে তাতে বুঝা যায় এসকল লোক হয় আওয়ামী ঘরনার না হয় আবাল  ,Yes
মাহি কোন চেটের বাল মেম্বার হোওআর জুগগোতা আসেনি সাউআর পুতের ,Yes
কারন একজন লোক কে চোর বলতে হলে প্রমান প্রোয়জন  কিন্তু এরাকোন প্রমান ছারাই যা মনেহয় বলে যায়  তারেক যদি চোর হত তাহলে এই আওয়ামী সরকার এত দিনে তাকে ফাসী নাদীলও কমকরে বছর এর সাজা দীয়ে ছেরে দিত ,Yes
অসভ্য লম্পট  নোংরা কোথাকার ,Yes
খানকির পোলা মিয়ানমারের দিকে যা ভারত কে নিয়ে এত চিনতিত কেন   মুসলমান শেষ করে দিচছে আর বাইনচোদ ব্যস্ত ভারত কে নিয়ে,Yes
যারা জামায়াত করে তারা সবাই রাজাকার কি অদ্ভুত ব্যাপার ,Yes
অন্ধকারে অন্য দেশের গোয়াল ঘর থেকে গরু চুরি করে জমি থেকে ধান কেটে নিয়ে যায় বেআইনী অনুপ্রবেশ করে তাঁদের এত অহংকার কীসের ,Yes
পূজার ধর্ষকের ফাসি চাই সকল নারী নির্যাতনের বিচার চাই সংখ্যালঘুদের উপর ধর্ম অবমাননার মিথ্যা গুজব রটিয়ে নির্যাতনের সঠিক বিচার চাই ,Yes
 হিন্দুদের নিরাপত্তা চাই  উগ্র মৌলবাদ বন্ধের দাবি জানাই যারা বাংলাদেশের সাম্প্রদায়িক দাঙ্গা লাগিয়েছে সেই সকল মুসলমানদের বিচার ও ফাসি চাই ,Yes
তুই তো টাকার কাছে তোর ধর্ম বিক্রি করছ  তুই তো মানুষ নামের জানোয়ার হারে নাস্তিক আল্লার ক্ষমা চা ,Yes
এই রোহিংগারা বাংলাদেশীদের সাথে সৌদী আরবে কি ব্যবহার করে তা সৌদী প্রবাসীরা জানে এবং বাংলাদেশী পাশপোর্ট নিয়ে এদের কুকামের জন্য সৌদী আরবে,Yes
কাদের সিদ্দিকী বীরউত্তম,No
বাংলাদেশ কে ও বন্ধ করতে হবে এই সব ভারতীয়,Yes
সালা ভিকরারি তোর বাবা ভারতের দিয়ে চালাচ্ছিস তোরা রে কাংলারা,Yes
বাপ বেটারে আরো আগে লাতি দেওয়া উচিৎ ছিল,Yes
ফারাক্কা দিয়ে আামার পদ্মা মরুভুমি বানিয়েছে ,Yes
ভারতে গরু চুরি না করলে হালাগো প্যাটের ভাত হজম হয় না,Yes
ভারতের শালারারে কুকুরে মতন মার,Yes
এটা কমিশনার এর মেয়ে খানকিমাগির মেয়ে ,Yes
তর ভোদার ভিতরে ভালো ভাবে বরে দিমু	,Yes
এগুলা রাস্তার মেয়ে ,Yes
আজাইরা আলাপ কম কইরা পারলে ভালা কিছু নিয়া কথা কইয়া দেখাইও ফাউল মিয়া,Yes
এমন কোন অকাজ কুকাজ নাই যা ভারতে হয় না  যেটা ওদের টিভি সিরিয়াল গুলোর কাহীনি দেখলে কিছু অনুমান হয়,Yes
মাদারচুদরা ভারতের দালাল রেন্ডিয়া আমাদের বন্ধু হতে পারেনা,Yes
খানকিন পুরারা সব মিডিয়া তোদের মত মিথ্যা খবর লিখে না আর সবাই হলুদ মিডিয়াও না,Yes
ভারতের টিভি সিরিয়াল বন্ধ নিয়ে রিপোর্ট করলে আরও ভালো হতো,Yes
ভারতীয়রা পাকিস্তান সেনাদের বুঝি আদর করে হত্যা করে ,Yes
বিভাস খানকির পোলা তোর মারে কাউয়া দিয়া উড়াইয়া চুদি বেশ্যার পোলা চুপ থাক,Yes
খানকির পুলারা বড়ই নামের কাজ করতেছে,Yes
খানকির পোলাদের আর কোন কাম নাই,Yes
মোল্লাদের বুদ্ধিমত্তা গরুর চেয়ে একটু বেশী ,Yes
মুখরোচক কথা বলা সহজ ,Yes
আন্ডালিব যে একটা শুয়োরের বাচ্চা ছাড়া আর কিছু না ,Yes
আর আমাদের এই খাইস্টা জাতের মধ্যে তুমিও পড় সো রক্ত ত মিশশা আসেই জিনিস টা,Yes
খানকি মাগি তরা সমাজ টাকে নষ্ট করে ফেলতেছিস ,Yes
ভারত শয়তানেরা সব খারাপ কাজ পারে,Yes
মিডিয়া মায়ানমার এ আজ জন মুসলমান কে আজ সেনা ও সূচি সরকার হত্যা করসে তোরা সাংবাদিক কুত্তার বাচ্চা রা এর কোনো প্রতিবাদ করস না কেন ,Yes
বাংলাদেশের খানকির পোলা মিডিয়া চুপ করে আসে জারজ মিডিয়া যদি একটা হিন্দু মরত তাহলে কুত্তার বাচ্চা মিডিয়া ঘেউ ঘেউ করে কাঁদ ত,Yes
শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক ,Yes
ভারতের জন্য শোক আরেক পাশে দেশে মুসলমাদের মারছে তাতে কোন মাতা বেথা হয় না এ কেমন কথা,Yes
মাহি তুই কুকুরের মতো গেউ গেউ করোছ কা  শালা দালাল চক্রের মধ্যে তুই একজন ,Yes
সালে মহান মুক্তিযুদ্ধের সময় বাংলাদেশে থেকে প্রায় কোটি শরণার্থী ভারতে প্রবেশ করেছিলো এবং অধিকাংশ লোক মুসলমান তখন তাদেরকে ফেরত না পাঠিয়ে ভারত সরকার তাদের সাধ্যমত দেখাশোনা করেছিল  তখন তাদের দেশের নিরাপত্তা বিঘ্নত হয় নি,No
ঢাকাৰ মাল চুদাছো শেমজা ,Yes
বিএনপি এখন পাগল হয়ে গেচে ,Yes
পার্থ্য খানকির পোলা,Yes
তারেক জিয়াকে কিছু টাকা দিলে ওনি আর এই সন কথা বলবেন্না ,Yes
এটা সবাই জানে দুধের শিশু জামাতের আমির হলে তাহাকে ও রাজাকার বানানো হবে,Yes
শামিম এর এক্টিং বডিল্যাংগুয়েজ নির্ভর ভাড়ামী মাত্রাতিরিক্ত,Yes
এদের কারনে এলিয়েনরা পৃথিবীতে বেড়াতে আসে না ,Yes
তারেক রহমানকে চুরি বিদ্যা শিক্ষা দিয়েছে তার মা খালেদা জিয়া তাই চোর যদি ধরা না দেয় চোরের ওস্তাদকে ধরে জেলে ঢোকান কথায় বলেনা কান টানলে মাথা আসে ,Yes
খানকির পুতেরা  কুত্তা দিয়া পুন্দামু মাংগের পোলা ,Yes
এই পৃথিবীতে যদি কোনো নিকৃষ্টতম দেশ আছে তা হল পাকিস্তান ,Yes
একটা মুসলিম হয়েও জঘন্যতম কাজ গুলোর জন্ম দেয় যতো ধরনের জঙ্গিবাজ রাজাকার সবার ঘাটি ওই পাকিস্তান এ যে খানে মানুষ মসজিদ এ নামাজ পড়তে গিয়েও জীবন হারায় বোমা আর গুলির আঘাতে শতো ধিক্কার জানাই এসব রজাকার দের  সালে যে কয়টা আত্মসমর্পণ এর জন্য আসছিলো তাদের ও লাইন করে গুলি করা উচিৎ ছিলো তাহলে এখন আর কোটি টাকা দাবি করার জন্য আসতো না,Yes
মালাউন কা বাচ্চা কাভি নেহি আচ্ছাও ভি সাচ্ছা ও তো শুয়োর কা বাচ্চা,Yes
হিন্দু নির্যাতিত হলে ভারত কাঁদে খৃষ্টান হলে আমেরিকা কাঁদে ইহুদি হলে ইজরাইল কাঁদে বোদ্ধৌ হলে চীন কাঁদে আর মুসলমান নির্যাতিত হলে কোন দেশ কাঁদে না কোথায় মুসলিম বিশ্ব   কোথায় মানবতা,Yes
 মুনাফেক সারা টা জীবন জামাত শিবিরের গিবত করে গেছে ,Yes
প্রধান্মন্ত্রির কাছে আমার একটা রিকুয়েস্ট ভারতের সাথে সম্পর্ক বিচ্ছিন্ন করেন ,Yes
বিয়ে তো করছে এক মক্কল বেডারে যেন বাইরে বাইরে ইত্রামি করতে পারে,Yes
আরে এইতো হল ভারতীয় নাগরিক,No
হাসালেন ভারত পাকিস্থানের সাথে কি কখনও পারবে ?,Yes
রাজাকার শোভাযাত্রা ও সমাবেশ করা উচিত ,Yes
ভারতের পাছে বাঁশ দিবে তারা জুলুমকরছে তাই তাদের সাস্তি হয়াদরকার,Yes
এগুলা পাগলাগারদ এর বাইরে আসলো কিভাবে,Yes
কোনো লাব নাই রাজাকার বিএন,Yes
প্রতিবাদ টুকু করার সাহশ পায়না ,Yes
লটির পোলা রাজাকার নাপাকিস্তানে জিন্নাহ বাচচাদের গুষ্টি মারি  জয় বাংলা জয় বঙ্গবন্ধু  রাজাকার পাকিস্তান মুর্দাবাদ,Yes
পাকিস্তানের শহিদ হলে ভারতের মালু কুত্তা কে মারে পাকিস্তান বাংলাদেশের বাঙালি কে শহিদ করলেও রাজাকার বাকশাল সরকার ,Yes
বলদরা বলে কাশ্মীর নাকি ভারতের,Yes
সংবিধান তোর পোন্দের মধ্য দিমু কাদেইরে হালার পো হালা,Yes
রোহিঙ্গা মুসলিমদের পুড়িয়ে হত্যা করছে শুনে আমদের বসে বসে কান্না করা ছাড়া আর কিছুই করার নেই,Yes
ভারতে ক্রিকেট বোডে দুরনিতি আখরা ছাটাই করা উচিত ,Yes
রাষ্ট্র স্বাধীন না হতেই জিয়া প্রেসিডেন্ট  হায়রে মূর্খের দল ,Yes
ভারতীয় সকল চ্যানেল বন্ধ করা হউক ,Yes
তোরা তো চুদতে পারস না  তাই আমরা তোর মা বোনদের চুদে তোদের করি  তুই খানকির পোলা,Yes
মিয়ানমার দেশ মানে কুলংগার এবং ঘৃনিত দেশ,Yes
কাংলু কুকুর গুলোকে শিক্ষা দেওয়ার এখনি উপযুক্ত সময় কাংলাদেশে ভারতীয় বাহিনী আক্রমন চালাক দেখি কুকুরগুলোকে কে বাচায়  লুঙ্গি পড়ে,Yes
ঘটনা যদি সত্যি হয়ে থাকে তাহলে তাকে প্রকাশ্যে ফাসিঁ দেয়া দরকার ,Yes
এই মাগীর ফাসির আগে বিষ খেয়ে মরা উচিত ,Yes
মায়ানমারের আগে ভারতের প্রতি তাকান  যদি এক চোখ কানা তোমরা,Yes
তারেক আর খালেদা জিয়ার বালের যোগ্যতা নেই তোদের   তুই আই আমরা উচু করে নিয়ে দাড়িয়ে আছি   ,Yes
খানকিরে জোতা মার শুয়ারের বাচ্চা মুদি তোর সামি লাগে এজন্য তুই শোক পালন করছ ,Yes
আর মায়ানমাররের মুসলিমদের জন্য  তোর কিছুই করার নাই তুই বলে মুসলিম আমি বলি তুই একটা নাস্তিকে বাচ্চা মুদি তোর বাপ লাগে  তোরে আমরা ভোট দিয়ে ভুল  করছিলাম এখন আমরা সেই ভুলের মাসুল দিচ্চি থার হাসিনা হিন্দু বাবার কোলে ঘুমিয়ে থাক বাবার চেন লম্ভা,Yes
চীন দুটো সাবমেরিন দিছে বাংলাদেশ কে তাই ভারত দিশেহারা হয়ে উল্টো পাল্টা বলছে,Yes
তর প্রফাইল নেইম টা আমি মালাউন হিজরা লিখা উচিৎ ছিল তুই বেষ্যা মাগির পুত নেংটি দাতু চুরের বাচচা তর মা তর চাচা জেঠা মামা ,Yes
খালু সবার সাথে চুদা দিয়া তরে সংমিসৃত সন্তান পয়দা করছে তর মারে চুদি দাতু চিরের বাচচা ,Yes
তর মউত মোসলমানের হাতে মনেরাখিস ইনসা আল্লাহ তোর আসেপাসেই কোন ঈমানদার তোকে নজরে রাখছে কাফেরের বাচচা  ,Yes
সালিরা মিস ওয়ার্ল্ড আইছে নাকি গাজাখুরী কথা বলতে আইসে,Yes
দেশটা রাজাকারে ভরতি হয়ে গেল রে আফসোস ,Yes
দেশেনেএি বেগম খালেদা জিয়া আপনাকে অনেক ধন্যবাদ আপনি চালিয়ে জান এবং আমাদের কে চালিয়ে যাওয়ার সুযোগ দিন আমরা তো আপনার অপেখ্যা আছি ,Yes
এ খানকি তোর গুদে কতো খিদে আমি তেকে চুবৌ,Yes
এক নম্বর এর খানকির পোলা,Yes
প্রথম আলো তে যারা চাকরি করে তাদের সবার মায়ের গনোরিয়া ছিল যখন তারা তাদের মায়ের গর্ভে ছিল  সেলিম ওসমান এর কোথায় ঠিক ,Yes
আমরা ছায় ভারতকে ধ্বংস করে কলকাতা দখল করব,Yes
ঐক্যফ্রন্টের মাধ্যমে সরকারের পতন হবে  ,Yes
পৃথিবীর সবথেকে মিথ্যাবাদী ধর্ম হিন্দু,Yes
তোরা জিততে পারলি না  তাই এই ধরনের কথা বলছিস  তোদের খমতা আছে  ভারতের সাথে জেতার ,Yes
মডেল না মনে হচ্ছে মাগী পাড়ার মাগী দুইটা পঞ্চাশ একশো টাকা দিলে চোদা যাবে  ,Yes
সৌভিকের যে বন্ধু এখানে রিপ্লাই দিয়ে গালাগাল দিবে তার মায়ের ভোদার ভিত্রে ধোন হান্দাইয়া কাম রস বাইর করমু,Yes
ভারতের সেনারা সরকারিভাবে লিটার মদ পায় মাসে পাকিস্তানি সেনারা পায় কেজি করে আঙুর ফল ভারতীয়রা জবাব দেবে কিভাবে ,Yes
তুই মরলে দেশে সানতি আসবে,Yes
আমার কাছে উপায় জানা আছে যেহেতু ভারতীয়রা খোলা মাঠে টয়লেট করে সো এগুলো টয়লেট পেপার হিসেবে ইউস করলে তাড়াতড়ি শেষ হয়ে যাবে,Yes
আমেরিকা  রাশিয়া  চীন  এখন আমাদের কত ভাল বন্ধু  ঔখানে ইন্ডিয়া কোন চেটের বাল,Yes
আমার তো মনে হয় তোর ভোদায় পানি গড়গড় করতেছে ছেলেদের সোনা ঢুকানোর জন্য ,Yes
মুর্তিপুজারী মাজারপুজারী ভন্ড পীরদের পোদ ফেটে গেছে  ,Yes
কাংকির ছেলে রাজাকার সবাই তো কুত্তালীগ করে এই কথা তুই জানিস না,Yes
মাহি তোর মুখে আল্লাহর নাম মানায় না কারণ তো ইসলাম বিদ্বেষী ,Yes
মাগি দের জন্য দেশ টা নষ্ট হয়ে যাচ্ছে ,Yes
মাগির বুদা অনেক বড়,Yes
বেহায়ার মত এমন পর্ণ ভিডিও বানাইতাছে ,Yes
কিছু মালাউন উসকানি মুলুক কথা বলেছে আর কিছু মুসলমান নাম দারি মুসলমান দের আপন ভাবে না তারা মরে যাক তাতে কি আসে যায় তাদের ভাব দারা এমনি মনে হয় ,Yes
ভারতের জন্য দুঃখের দিন আরো আসবে   ভারত আমাদের দেশের ক্ষতি করেই চলেছে   কালকে ঢাকা আসছে ভারতের প্রতিরক্ষা মন্ত্রী হাসিনাকে তেল মাখাতে যাতে এইদেশটা ভারতের হয়ে যায়  ,Yes
হিন্দু র্মূখ মালাউনদের ঐ ক্লাবে ঠুকলে গলা ঠাক্কা দিয়ে বের করে দিতে হবে   কারন মালাউনরা টয়লেট করে পানি ব্যবহার করেন  ওদের গায়ের থেকে গন্ধ আসে হাহাহা হা  ,Yes
মাগির বেটা তুই ও কি মালুর বির্যে জন্ম নাকি খানকি মাগির দালাল  রাজাকাররা চুদে,Yes
তোর বেইস্যা মাকে জিজ্ঞেস করিস তোর জন্ম কার চোদায়  আর তুই খানকির বেটা হইলি নামার ওয়ান রাজাকার  খানকির ছেলে শালির চাওয়াল,Yes
অাগে ফাসি দে পরে অভিযোগ ,Yes
একজন মেম্বারের যোগ্যতা যার নাই অথচ কত্থা বলে ইচরে পাকার মতো,Yes
বালের ব্যাকগ্রাউন্ড মিউজিক লাগাইসো,Yes
ভারত কে বিশাস করা যায় না  কারণ ভারত সুবিধা বাদী  ,Yes
বেইশ্যার জন্মের ফসল মাগি ,Yes
হচ্ছে আমাদের ভারতের কিছু জারক সন্তানদের রাজনীতি নামের দুর্নীতি,Yes
এর জন্য দায়ী পাকিস্তান আর আপনারা  জাল নোটের কারখানা খুলে রমরমিয়ে নোট ছেপেছেন  ,Yes
আর ভারতের মন কত উদার তা আপনারা নিজেরাও জানেন ,No
এইটা বুযতে হবে জাতিতে এই সব কাউয়া কাদিরার সাজানো নাটক,Yes
ভারত আমাদের চিরশত্রু,Yes
তুই কি পতিতালয়ে জন্ম্য নিছিস,Yes
মেধাহীন আবাল আর দেখতে চাই না  ,Yes
ভারত আর পাকিস্তান যুদ্ধ লাগুক আর নাইবা লাগুক ফেসবুকে দেখছি ভারত পাকিস্তান নিয়ে অলরেডি যুদ্ধ শুরু হয়ে গেছে ,Yes
ভারতীয় সকল চ্যানেল বনধ করা হোক ,Yes
সব কয়টায় জামাত শিবির জরিত,Yes
আমার যদি খোমোতা থাকত ভারত নামের রাস্ট্র টা মুছে ফেলতাম প্রিথিবী থেকে,Yes
এখনও মালাউন আসে নি দেখলে ই মাথা নষ্ট হয়ে যাবে,Yes
 এই হিন্দুরা কাশ্মীরে মুসলিম এবং হায়দারাবাদে মুসলিম হত্যা করেছে,Yes
কাশ্মীরের জম্মু ছিল মুসলিম সংখ্যাগরিষ্ঠ এলাকা   মুসলিমদের উপর গনহত্যা চালিয়ে সেটা হিন্দু সংখ্যাগরিষ্ঠ এলাকা বানিয়ে ফেলেছে  ,Yes
গুজরাটের মুসলিম এমপিকে পর্যন্ত তারা জবাই করে হত্যা করেছে   এত বড় হারামজাদা জাতি এই হিন্দু মালাউনের বাচ্চারা   ,Yes
গুজরাটে মুসলিমকে পুড়িয়ে হত্যা করেছে ,Yes
গুজরাটের মুসলিমদের ঘর বাড়ি আজও তাদের দখলে,Yes
মালুদের পাছায় বাঁশ দাও,Yes
হিন্দুদের মালাউন বলার সাথে সাথে দেশের থেকে সরকার সবাই প্রতিবাদ মুখর ,Yes
কেন রে রাজাকার তো কি পায়ের নিচে মাটি নেই,Yes
 মালাউনদের সাথে কোনো আপোষ নেই  ধরো আর মারো  ধরো আর মারো,Yes
 যে ভাবে মুসলমানদের মারে সেই ভাবে কুত্তাদের মারো ,Yes
ভালো মানুষের বাচ্চারা রিপ্লাই দিতে পারবে  কিন্তু জারজের বাচ্চা রিপ্লাই দিবা না,Yes
সময়ের কন্তসর হচ্ছে ভারতের দালাল  আসব মিথ্যা আপবাদ দিতে উস্তাত ,Yes
ভারতীয় সেনাবাহিনী আর বিএসএফ কি এতই দুর্বল যে বর্ডার পার করে এসে পাকিস্তানিরা হামলা করে আবার চলে যায় ও আচ্ছা এইবার বুঝলাম বিএসএফ তো শুধু বাঙালীদের সাথেই পারে,Yes
এটা মেয়ে নাকি হিজড়া কিছুইত বুজলাম না,Yes
তুই মাগি পরিচয় দিলি  তুই আসলে একটামাগি রেট কত আমিও ছুদবো তোকে  খুব মজা পাবি  ,Yes
মাঝে মধ্যে আমাদের ভাষা টাকে কেন অপমান করছিস ,Yes
অত্যাচার নির্যাতন এবং গণহত্যা মোটামুটি শিথিল হওয়ার পর ভারত প্রতিবেশি দেশের সাথে আলোচনা করবে বলে ঘোষনা দিল তারপরও ভাল যে জায়গায় মুসলিম রাষ্ট্রগুলো নীরব ভূমিকা পালন করে সেখানে ভারত আলোচনায় বসবে,Yes
শিক্ষনীয় ধারাবাহিক অথচ ঐতিহাসিক বাস্তব ঘটনা সম্বলিত সোলতান সোলেমান নয় বরং ভারতীয় অপসংস্কৃতির অাঘ্রাসন থেকে দেশপ্রেমিক জনগণ মুক্তি চায় এধরণের বিভ্রান্তিকর নিউজ দেখতে চাই না ,Yes
সিয়াম একটা পাডার পো পাডা ,Yes
কত জন যে চুদছে মাগীর ভোদাতে  স্পর্শীয়া মাগী  ,Yes
তোর ভাগে ভিক্ষার টাকা পাছ নাই তাই হাম্বা হাম্বা করতে আছোছ  ,Yes
চিন্তা করিছ না তোগ ভারতের সবকটা ভিখারি কে দুই পয়সা ভিক্ষা দিয়ে দিবে এইদেশ  ,Yes
নাচিরা খানকির পোলার গুষ্টিরে কুমিল্লার মানুষে ,Yes
আবাল মার্কা হুজুর ,Yes
ব্যশ্যাস্যালয়ের মাটি ছাড়া দূর্গা মূর্তি গড়া হবেই ,Yes
ছি ছি ছি এই মাদার চোদরা বেলে উপস্হাপক,Yes
সবাই দুধ ভাসাইয়া আশে টিভির সামনে,Yes
এই খানকির বাচ্চা শান্ত নিলয় মালাউনতোকে কে বলছে ,Yes
ও শুকরের বাছ চরা বাচতি যদি চাস ভারতের মুত খা,Yes
তোদেরকেও যবাই করে মারা উছিত শলা হারামিরভাচছা নাছথিক জানোয়ার মালাউন কুলাংগার,Yes
একদম ঠিক বলছে মূর্খ নেত্রী খালেদা জিয়াকে দেখতে চাই না ,Yes
শালা রাজাকারের বাচ্চা আর মাগি,Yes
এই ভারত বাংলাদেশের জন্য দ্বিতীয় ইজরাইল   এটা প্রতিটি কদমে কদমে প্রমানিত,Yes
বাংলা দেশতো ত্রখন ভারতের কটরোলে হাসিনা তাদের পুতুল জেমনি নাছাত্র তেমনি নাছে,Yes
পাকিস্তান কোন কালেই মুসলমানদের উপকার করে নি  ,Yes
হিন্দ হয় না কারো বন্ধ  ওগো চুদবে চায়না  পাকিস্তান,Yes
খানকির বচ্চা আমরা তো সারা ওয়ার্ল্ড জুড়ে আছি তাই আমাদের দেখিস  আর তোরা তো শুধু রেন্ডিয়াতে পড়ে আছিস  ,Yes
ভারতীয় পিপড়া মারলেও ভালো করে প্রচার করিস আর মায়ানমার এর মুসলিম হত্যা করছে আর বলিস্ এই গুলো নাকি মিথ্যা খানকির পোলা ভারতের দালাল,Yes
মালাউনদের জন্য এত দরদ কিন্তু মায়ানমার এর মুসলিম নির্যাতন ও গণহত্যার প্রতিবাদ একবার ও করেনি ,Yes
বাংলাদেশ টা ওদের মত কিছু লোকের জন্য দেশটাকে ডুবিয়ে গেছে,Yes
মাদারচোদ পাকিস্তানি ,Yes
 মুনির তুমি বড়ইই চালাক আর বুদ্ধিমান তাইনা ,Yes
তুমার ভিতরে মনুসত্ত বলে কিছু আমি তা বিশবাস করিনা আর তুমি একজন মুসলিম আমি তাও বিধবাস করিনা কারন একজন মুসলিম এর কস্টে দূরদদশয় জার মন অন্তর কাদেনা কে বলে মুসলিম তারে সে হল মালাউন ফেরাউন ,Yes
সুলতান সু লেমা নে মুস লিম ঐতিহ্য তু লে ধরায় ভারতীয় নোংরা সি রিয়াল ভক্তরা ক্ষে পে ছে ,Yes
তর বোদা টা কালো হয়ে গেছে আমি তোমার বোদা টা দেখেছি  ,Yes
তোরা বড় জানোয়ার আমরা আগে থেকে জানি দেখেছি,Yes
সেই কাশ্মীরের মা বোনদের কান্না আজ যদি কোন হিন্দু রাষ্ট্র হতে তাহলে দিনের মধ্যে ভারত গিয়ে নাক গলাত মালাউনদের কখন ও বিশ্বাস করতে নাই ,Yes
বাংলাদেশে একটা হিন্দু মারলে করত মিটিং দমক দেয় কিন্তু বার্মাতে শত শত মোসলমান কে হত্যা করতে এই হারামীরা একটা প্রতিবাদ পর্যন্ত করে নাই,Yes
খানকির পোলা কয় পাকিস্তান খাইতে পারেনা তোর কাছে ভাত চাইতে আইছিল নাকি ওরা রেন্ডিয়াকে চোদেনা,Yes
হেডার ঘরে হেডার মাইয়া বালের মাইয়া,Yes
তিনি যদি কোন জঙ্গি হামলায় জড়িতো থাকে ভারত সরকার তাকে শাস্তি দিক,Yes
পাকির মায়রে বাপ ,Yes
এখন ভারত হইছে আর কি হাগুসীনা,Yes
অবৈধ মুসলমানদের লাথ মেরে তাঁড়ানো হোক,Yes
ইসলাম যে বিশ্ব মানবতার ধর্ম ও শান্তির ধর্ম ,No
এ মালুয়ানরা শোন তোদের ধর্মের মতো কল্পকাহিনীচোদা ধর্ম এই পৃথিবীতে আরো দুই একটা আছে  নিজের জ্ঞানেই চিন্তা করিস  তোদের ফালতু ধর্ম তার প্রমাণ হচ্ছে রাজা রাম মোহন রায়,Yes
এরে সোনা সিং তোরা রেন্ডিয়ার গরুর মুত খাওয়াতে মাথা ডিলা হয়ে গেছে নাকি সালা বালকাতার লোক,Yes
তোদের ভারত বাবাজির ইতিহাসের ভুল বলিশ কেন ,Yes
এর ভোদা সবাই ফাটাও,Yes
একটু চিন্তা করে দেখ এ পাকিস্থানিরা কোন জাতিরে বির্য দান করছে   সেটা তো মালাউন জাতি রে হতে পারে তুই সেই রাজাকারের বির্যের বংসধর  ,Yes
আমরা মায়ানমারের রোহিঙ্গাদের আশ্রয় দিতে পারি না  এতেই বুঝা যায় আমরা মুশরিক জাতি থেকে নিকৃষ্ট মুনাফিক জাতি  আর আল্লাহতাআলা দোযখে কাফিরদের নিচে মুনাফেকদের স্থান দিয়েছেন  তাই বাংলাদেশের মুনাফিক মুসলিমরা রোহিঙ্গাদের আশ্রয় দিবে না এটাইতো স্বাভাবিক ,Yes
হিন্দু নির্যাতিত হলে ভারতের কলিজায় আঘাত লাগে,Yes
